id,title,description,availability,condition,price,link,image_link,brand
684983E2B0F92_White_M_ignored-skater-skirt,Ignored Skater Skirt – White M,Ignored Skater Skirt from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-skater-skirt,https://www.typotecture.com/images/ignored-skater-skirt_white_M.jpg,Typowear
684983E2B0F92_White_L_ignored-skater-skirt,Ignored Skater Skirt – White L,Ignored Skater Skirt from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-skater-skirt,https://www.typotecture.com/images/ignored-skater-skirt_white_L.jpg,Typowear
684983E2B0F92_White_XL_ignored-skater-skirt,Ignored Skater Skirt – White XL,Ignored Skater Skirt from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-skater-skirt,https://www.typotecture.com/images/ignored-skater-skirt_white_XL.jpg,Typowear
684983E2B0F92_White_2XL_ignored-skater-skirt,Ignored Skater Skirt – White 2XL,Ignored Skater Skirt from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-skater-skirt,https://www.typotecture.com/images/ignored-skater-skirt_white_2XL.jpg,Typowear
684983E2B0F92_Black_S_ignored-tank-top,Ignored Tank Top – Black S,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_black_S.jpg,Typowear
684983E2B0F92_Black_M_ignored-tank-top,Ignored Tank Top – Black M,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_black_M.jpg,Typowear
684983E2B0F92_Black_L_ignored-tank-top,Ignored Tank Top – Black L,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_black_L.jpg,Typowear
684983E2B0F92_Black_XL_ignored-tank-top,Ignored Tank Top – Black XL,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_black_XL.jpg,Typowear
684983E2B0F92_Black_2XL_ignored-tank-top,Ignored Tank Top – Black 2XL,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_black_2XL.jpg,Typowear
684983E2B0F92_White_S_ignored-tank-top,Ignored Tank Top – White S,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_white_S.jpg,Typowear
